variant,date,direction,entry_price,stop_price,target_price,exit_price,exit_reason,risk_pts,reward_pts,pnl_pts,pnl_pts_net,hold_bars,swept_level,sweep_extreme,tod_entry_et,ref_level
A,2026-04-09,short,6870.75,6876.25,6859.75,6859.75,TP,5.5,11.0,11.0,10.4,4,6874.75,6876.0,9.666666666666666,overnight_high
A,2026-04-10,long,6850.5,6846.0,6859.5,6859.5,TP,4.5,9.0,9.0,8.4,10,6847.0,6846.25,9.5,overnight_low
A,2026-04-14,short,7002.25,7003.5,6999.75,6999.75,TP,1.25,2.5,2.5,1.9,4,7002.5,7003.25,9.5,overnight_high
A,2026-04-15,short,7039.75,7040.75,7037.75,7040.75,SL,1.0,2.0,-1.0,-1.6,1,7040.25,7040.5,9.5,overnight_high
A,2026-04-23,long,7130.5,7114.5,7162.5,7114.5,SL,16.0,32.0,-16.0,-16.6,1,7115.5,7114.75,9.5,overnight_low
A,2026-04-24,short,7194.5,7200.75,7182.0,7193.25,TIME,6.25,12.5,1.25,0.65,18,7197.25,7200.5,9.833333333333334,overnight_high
A,2026-04-29,long,7143.5,7137.25,7156.0,7137.25,SL,6.25,12.5,-6.25,-6.85,7,7142.0,7137.5,10.166666666666666,overnight_low
A,2026-05-05,short,7287.5,7289.25,7284.0,7289.25,SL,1.75,3.5,-1.75,-2.35,1,7288.0,7289.0,9.5,overnight_high
A,2026-05-06,short,7374.5,7375.75,7372.0,7375.75,SL,1.25,2.5,-1.25,-1.85,1,7375.0,7375.5,10.166666666666666,overnight_high
A,2026-05-07,long,7350.0,7345.25,7359.5,7359.5,TP,4.75,9.5,9.5,8.9,2,7345.75,7345.5,10.75,overnight_low
A,2026-05-08,short,7421.25,7426.25,7411.25,7426.25,SL,5.0,10.0,-5.0,-5.6,5,7425.0,7426.0,9.583333333333334,overnight_high
A,2026-05-11,short,7449.75,7455.0,7439.25,7439.25,TP,5.25,10.5,10.5,9.9,13,7450.5,7454.75,9.75,overnight_high
A,2026-05-13,short,7473.25,7477.5,7464.75,7477.5,SL,4.25,8.5,-4.25,-4.85,2,7474.0,7477.25,10.666666666666666,overnight_high
A,2026-05-18,long,7377.0,7374.0,7383.0,7374.0,SL,3.0,6.0,-3.0,-3.6,1,7375.0,7374.25,10.833333333333334,overnight_low
A,2026-05-21,short,7467.0,7479.0,7443.0,7443.0,TP,12.0,24.0,24.0,23.4,10,7469.75,7478.75,10.0,overnight_high
A,2026-05-22,short,7513.75,7524.25,7492.75,7499.75,TIME,10.5,21.0,14.0,13.4,18,7522.5,7524.0,9.5,overnight_high
A,2026-05-28,short,7582.5,7584.0,7579.5,7579.5,TP,1.5,3.0,3.0,2.4,4,7582.75,7583.75,9.833333333333334,overnight_high
A,2026-06-01,short,7622.75,7627.25,7613.75,7627.25,SL,4.5,9.0,-4.5,-5.1,2,7623.0,7627.0,10.166666666666666,overnight_high
A,2026-06-04,short,7599.25,7601.0,7595.75,7601.0,SL,1.75,3.5,-1.75,-2.35,1,7600.0,7600.75,9.583333333333334,overnight_high
