variant,date,direction,entry_price,stop_price,target_price,exit_price,exit_reason,risk_pts,reward_pts,pnl_pts,pnl_pts_net,hold_bars,swept_level,sweep_extreme,tod_entry_et,ref_level
B,2026-04-08,short,6819.25,6823.25,6811.25,6823.25,SL,4.0,8.0,-4.0,-4.6,2,6822.5,6823.0,9.75,or_high
B,2026-04-08,long,6813.0,6807.75,6823.5,6807.75,SL,5.25,10.5,-5.25,-5.85,5,6812.5,6808.0,10.25,or_low
B,2026-04-09,long,6864.75,6858.0,6878.25,6856.0,EOD,6.75,13.5,-8.75,-9.35,46,6860.5,6858.25,11.083333333333334,or_low
B,2026-04-10,short,6852.75,6857.25,6843.75,6857.25,SL,4.5,9.0,-4.5,-5.1,3,6854.75,6857.0,10.0,or_high
B,2026-04-13,long,6882.5,6881.5,6884.5,6881.5,SL,1.0,2.0,-1.0,-1.6,1,6882.25,6881.75,9.75,or_low
B,2026-04-14,long,6999.5,6997.75,7003.0,6997.75,SL,1.75,3.5,-1.75,-2.35,3,6999.25,6998.0,9.916666666666666,or_low
B,2026-04-15,long,7042.25,7033.5,7059.75,7059.75,TP,8.75,17.5,17.5,16.9,11,7035.0,7033.75,10.0,or_low
B,2026-04-16,short,7072.5,7076.5,7064.5,7064.5,TP,4.0,8.0,8.0,7.4,1,7075.75,7076.25,9.833333333333334,or_high
B,2026-04-16,long,7067.75,7064.75,7073.75,7073.75,TP,3.0,6.0,6.0,5.4,8,7067.25,7065.0,10.583333333333334,or_low
B,2026-04-17,short,7164.5,7169.0,7155.5,7155.5,TP,4.5,9.0,9.0,8.4,3,7165.25,7168.75,9.916666666666666,or_high
B,2026-04-17,long,7158.0,7156.0,7162.0,7156.0,SL,2.0,4.0,-2.0,-2.6,2,7157.25,7156.25,10.916666666666666,or_low
B,2026-04-20,long,7137.5,7134.75,7143.0,7143.0,TP,2.75,5.5,5.5,4.9,1,7136.25,7135.0,10.0,or_low
B,2026-04-20,short,7139.75,7144.25,7130.75,7144.25,SL,4.5,9.0,-4.5,-5.1,2,7143.0,7144.0,10.583333333333334,or_high
B,2026-04-22,long,7160.5,7156.5,7168.5,7156.5,SL,4.0,8.0,-4.0,-4.6,6,7157.5,7156.75,9.75,or_low
B,2026-04-22,short,7161.25,7163.25,7157.25,7163.25,SL,2.0,4.0,-2.0,-2.6,1,7162.0,7163.0,11.333333333333334,or_high
B,2026-04-23,long,7113.25,7084.5,7170.75,7141.0,TIME,28.75,57.5,27.75,27.15,18,7090.0,7084.75,9.833333333333334,or_low
B,2026-04-24,short,7189.5,7192.25,7184.0,7192.25,SL,2.75,5.5,-2.75,-3.35,1,7191.5,7192.0,9.75,or_high
B,2026-04-28,short,7163.0,7165.75,7157.5,7165.75,SL,2.75,5.5,-2.75,-3.35,3,7163.75,7165.5,10.0,or_high
B,2026-04-29,short,7147.75,7160.5,7122.25,7160.5,SL,12.75,25.5,-12.75,-13.35,12,7155.75,7160.25,10.0,or_high
B,2026-05-01,short,7281.25,7284.0,7275.75,7275.75,TP,2.75,5.5,5.5,4.9,3,7282.25,7283.75,9.833333333333334,or_high
B,2026-05-04,short,7233.25,7236.25,7227.25,7236.25,SL,3.0,6.0,-3.0,-3.6,2,7235.75,7236.0,9.833333333333334,or_high
B,2026-05-04,long,7226.25,7224.5,7229.75,7224.5,SL,1.75,3.5,-1.75,-2.35,1,7225.25,7224.75,10.333333333333334,or_low
B,2026-05-05,short,7289.25,7291.75,7284.25,7291.75,SL,2.5,5.0,-2.5,-3.1,2,7289.5,7291.5,9.916666666666666,or_high
B,2026-05-06,short,7368.0,7369.75,7364.5,7369.75,SL,1.75,3.5,-1.75,-2.35,1,7368.75,7369.5,9.75,or_high
B,2026-05-07,long,7352.75,7349.25,7359.75,7359.75,TP,3.5,7.0,7.0,6.4,1,7350.0,7349.5,9.833333333333334,or_low
B,2026-05-07,short,7363.0,7369.0,7351.0,7351.0,TP,6.0,12.0,12.0,11.4,4,7365.25,7368.75,10.333333333333334,or_high
B,2026-05-08,long,7420.5,7417.25,7427.0,7427.0,TP,3.25,6.5,6.5,5.9,2,7419.5,7417.5,9.833333333333334,or_low
B,2026-05-08,short,7422.75,7427.0,7414.25,7414.25,TP,4.25,8.5,8.5,7.9,4,7426.0,7426.75,10.5,or_high
B,2026-05-11,short,7449.75,7455.0,7439.25,7439.25,TP,5.25,10.5,10.5,9.9,13,7453.0,7454.75,9.75,or_high
B,2026-05-12,short,7394.5,7397.5,7388.5,7397.5,SL,3.0,6.0,-3.0,-3.6,2,7395.25,7397.25,10.083333333333334,or_high
B,2026-05-13,short,7470.5,7472.75,7466.0,7466.0,TP,2.25,4.5,4.5,3.9,2,7471.75,7472.5,9.75,or_high
B,2026-05-14,short,7523.25,7527.25,7515.25,7515.25,TP,4.0,8.0,8.0,7.4,2,7523.75,7527.0,9.833333333333334,or_high
B,2026-05-15,short,7458.75,7471.75,7432.75,7432.25,EOD,13.0,26.0,26.5,25.9,32,7469.75,7471.5,10.25,or_high
B,2026-05-18,short,7404.25,7420.75,7371.25,7429.25,EOD,16.5,33.0,-25.0,-25.6,47,7414.0,7420.5,11.0,or_high
B,2026-05-19,long,7406.25,7401.75,7415.25,7401.75,SL,4.5,9.0,-4.5,-5.1,1,7406.0,7402.0,9.75,or_low
B,2026-05-20,long,7437.25,7434.5,7442.75,7434.5,SL,2.75,5.5,-2.75,-3.35,1,7436.75,7434.75,9.916666666666666,or_low
B,2026-05-20,short,7436.75,7446.75,7416.75,7446.75,SL,10.0,20.0,-10.0,-10.6,8,7446.0,7446.5,10.666666666666666,or_high
B,2026-05-21,short,7467.0,7479.0,7443.0,7443.0,TP,12.0,24.0,24.0,23.4,10,7474.0,7478.75,10.0,or_high
B,2026-05-21,long,7461.75,7449.75,7485.75,7479.5,EOD,12.0,24.0,17.75,17.15,46,7457.0,7450.0,11.083333333333334,or_low
B,2026-05-26,short,7524.25,7527.0,7518.75,7527.0,SL,2.75,5.5,-2.75,-3.35,3,7525.0,7526.75,9.833333333333334,or_high
B,2026-05-27,short,7530.75,7534.0,7524.25,7534.0,SL,3.25,6.5,-3.25,-3.85,3,7532.5,7533.75,9.916666666666666,or_high
B,2026-05-28,short,7579.25,7581.5,7574.75,7581.5,SL,2.25,4.5,-2.25,-2.85,1,7579.75,7581.25,10.166666666666666,or_high
B,2026-05-29,long,7591.25,7589.75,7594.25,7589.75,SL,1.5,3.0,-1.5,-2.1,1,7590.25,7590.0,9.75,or_low
B,2026-05-29,short,7596.5,7598.25,7593.0,7593.0,TP,1.75,3.5,3.5,2.9,2,7597.25,7598.0,10.583333333333334,or_high
B,2026-06-02,long,7616.25,7614.0,7620.75,7620.75,TP,2.25,4.5,4.5,3.9,4,7615.5,7614.25,10.666666666666666,or_low
B,2026-06-02,short,7620.5,7623.0,7615.5,7623.0,SL,2.5,5.0,-2.5,-3.1,2,7621.25,7622.75,11.166666666666666,or_high
B,2026-06-03,short,7580.5,7582.5,7576.5,7582.5,SL,2.0,4.0,-2.0,-2.6,2,7581.0,7582.25,10.166666666666666,or_high
B,2026-06-04,short,7601.75,7603.25,7598.75,7603.25,SL,1.5,3.0,-1.5,-2.1,1,7602.5,7603.0,9.833333333333334,or_high
