variant,date,direction,entry_price,stop_price,target_price,exit_price,exit_reason,risk_pts,reward_pts,pnl_pts,pnl_pts_net,hold_bars,swept_level,sweep_extreme,tod_entry_et,ref_level
C,2026-04-08,short,6817.0,6819.75,6811.5,6819.75,SL,2.75,5.5,-2.75,-3.35,1,6818.75,6819.5,9.5,pdh
C,2026-04-10,long,6850.5,6846.0,6859.5,6859.5,TP,4.5,9.0,9.0,8.4,10,6848.0,6846.25,9.5,pdl
C,2026-04-16,short,7069.5,7073.0,7062.5,7073.0,SL,3.5,7.0,-3.5,-4.1,2,7070.0,7072.75,9.5,pdh
C,2026-04-21,long,7136.75,7133.0,7144.25,7131.0,EOD,3.75,7.5,-5.75,-6.35,42,7135.0,7133.25,11.416666666666666,pdl
C,2026-04-29,long,7158.0,7152.75,7168.5,7152.75,SL,5.25,10.5,-5.25,-5.85,3,7154.75,7153.0,9.75,pdl
C,2026-05-01,short,7263.25,7266.25,7257.25,7266.25,SL,3.0,6.0,-3.0,-3.6,4,7263.5,7266.0,10.666666666666666,pdh
C,2026-05-07,long,7366.75,7364.0,7372.25,7364.0,SL,2.75,5.5,-2.75,-3.35,1,7364.75,7364.25,10.25,pdl
C,2026-05-18,long,7403.0,7395.25,7418.5,7395.25,SL,7.75,15.5,-7.75,-8.35,3,7397.75,7395.5,11.083333333333334,pdl
C,2026-05-27,short,7543.75,7545.5,7540.25,7540.25,TP,1.75,3.5,3.5,2.9,3,7544.75,7545.25,11.083333333333334,pdh
C,2026-05-29,short,7590.75,7595.25,7581.75,7581.75,TP,4.5,9.0,9.0,8.4,4,7592.5,7595.0,9.666666666666666,pdh
